QR Method Timings
250 0.23
500 1.31
750 4.41
1000 9.55
1250 17.01
1500 28.48


LUeff Method Timings (small dataset)
250 0.06
500 0.06
750 0.06
1000 0.06
1250 0.07
1500 0.07


LUeff Method Timings (large dataset)
250 0.22
1250 0.23
2250 0.21
3250 0.20
4250 0.22
5250 0.21
6250 0.21
7250 0.21
8250 0.21
9250 0.22
10250 0.21
11250 0.21
12250 0.21
13250 0.21
14250 0.21
15250 0.21
16250 0.21
17250 0.21
18250 0.21
19250 0.22
20250 0.21
21250 0.21
22250 0.21
23250 0.21
24250 0.21
25250 0.21
26250 0.21
27250 0.21
28250 0.21
29250 0.26
30250 0.21
31250 0.21
32250 0.22
33250 0.21
34250 0.22
35250 0.21
36250 0.21
37250 0.22
38250 0.21
39250 0.21
40250 0.21
41250 0.21
42250 0.22
43250 0.21
44250 0.21
45250 0.21
46250 0.21
47250 0.21
48250 0.21
49250 0.21
50250 0.21
51250 0.21
52250 0.21
53250 0.22
54250 0.21
55250 0.21
56250 0.21
57250 0.22
58250 0.22
59250 0.21
60250 0.21
61250 0.21
62250 0.21
63250 0.21
64250 0.21
65250 0.21
66250 0.22
67250 0.21
68250 0.22
69250 0.21
70250 0.22
71250 0.21
72250 0.21
73250 0.22
74250 0.22
75250 0.23
76250 0.21
77250 0.21
78250 0.21
79250 0.21
80250 0.22
81250 0.21
82250 0.21
83250 0.21
84250 0.22
85250 0.22
86250 0.21
87250 0.22
88250 0.21
89250 0.23
90250 0.21
91250 0.23
92250 0.22
93250 0.22
94250 0.21
95250 0.22
96250 0.21
97250 0.22
98250 0.21
99250 0.24
